,State,City,Location,Address,Instructions,Accepting,Open packages?
831,MA,newton,Newton-Wellesley Hospital,"2014 Washington St
Newton, MA 02462","Contact Carolyn Gabbay at 
carolyn.gabbay@gmail.com
 for delivery/dropoff instructions.","N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns",Unsure
832,MA,north andover,Lawrence General Hospital,"795 Chickering Rd
North Andover, MA 01845","Do not drop off at the hospital. Drop off at North Andover Fire Department, 795 Chickering Road, North Andover MA","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
833,MA,north andover,Sutton Hill Center,"1801 Turnpike St
North Andover, MA 01845",Drop off in vestibule to receptionist,"Surgical masks, Face shields, Gowns",Yes
834,MA,oak bluffs,Martha’s Vineyard Hospital,"1 Hospital Road
Oak Bluffs, MA 02557","UPS, FedEx",Long gloves (nitrile or other),
835,MA,peabody,Alliance Health at Rosewood,"22 Johnson St
Peabody, MA 01960",Either drop off or mail. Call 978-317-4852 and ask for Dr. Lucas.,"N95s, Surgical masks, Face shields, Safety goggles",No
836,MA,peabody,Sunrise Senior Living in Peabody ,"73 Margin St
Peabody, MA 01960",Drop off box in the back of building ,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
837,MA,pembroke,ConvenientMD,"296 Old Oak St
Pembroke, MA 02359",Curbside or mail with Attn: Lauren Riley,"N95s, Surgical masks, Face shields, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
838,MA,pittsfield,Action Ambulance,"121 West Housatonic Street
Pittsfield, MA 01201","Mail to: 121 West Housatonic Street, Pittsfield, MA 01201","N95s, Surgical masks, Gloves, Gowns, (the PPE received from the state were covered in rat urine, and chewed)",Unsure
839,MA,pittsfield,Berkshire Medical Center,"725 North St
Pittsfield, MA 01201",Delivery to ER,"N95s, Surgical masks, PAPR",Unsure
840,MA,pittsfield,Berkshire Medical Center,"725 North St. 
Pittsfield, MA 01201",Curbside,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gowns, Disinfecting wipes, Thermometers",Yes
841,MA,pittsfield,Berkshire Medical Center,"725 North St
Pittsfield, MA 01201",To internal medicine department ,"N95s, Surgical masks, Face shields, Safety goggles, Gowns",Yes
842,MA,pittsfield,East Elm Pediatrics,"426 East St
Pittsfield, MA 01201",Any. Will travel to pick up.,"N95s, Face shields, Gowns",Unsure
843,MA,plainville,ConvenientMD Urgent Care,"86 Taunton St
Plainville, MA 02762",Drop off or mail,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Unsure
844,MA,plymouth,Beth Israel Deaconess Hospital - Plymouth,"275 Sandwich St
Plymouth, MA 02360","Email 
smahone4@bidmc.harvard.edu
 with detailed information including the brand and the quantity of the items you wish to donate. Visit 
https://bilh.org/donations
 for more information.","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",No
845,MA,somerville,Cambridge Health Alliance (CHA) - Somerville Hospital,"33 Tower Street
Somerville, MA 02143","Please bring masks to any of our hospitals (Somerville Hospital, Cambridge Hospital or Everett Hospital) to the safety officer desk right inside the entrance. Please provide your name and contact information because we want to thank you. If you are unable to leave your home, we are happy to pick up the items. Please email Julia Saggesse (
jsaggese@challiance.org
)and we will make arrangements to pick them up. If you would like to mail the masks send them to the Somerville Hospital 236 Highland Ave. Somerville Ma 02143 Attention Mary Cassesso CHA Foundation.","N95s, Surgical Masks, Safety Goggles, Paper Gowns, Home sewn masks using https://www.craftpassion.com/face-mask-sewing-pattern/. We ask that you use cotton such as cotton sheets- two layers of material on the mask, please. Two layers are relatively easy to breathe through and provide about 60% of the protection of a surgical mask. We also ask that you put a ""pocket"" on the inside of the mask so that we can insert a filter if we are able to find them. It has been suggested that we use vacuum cleaner bag filters so if you can find them as well, we would appreciate those donations.  If you have elastic and prefer to use that instead of ties that is up to you and much appreciated.",Yes . Home-sewn will be washed.
846,MA,south weymouth,South Shore Health,"55 Fogg Rd
Weymouth, MA 02190",Drop off at the McKim Lobby Main Entrance,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",
847,MA,springfield,Baystate Medical Center,"754 Chestnut St
Springfield, MA 01199","Mailing address ATTN: Dr. Ashwini Poola, General Surgery department","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
848,MA,springfield,"Pediatric Care Associates, Springfield, MA","299 Carew St STE 210
Springfield, MA 01104",Please call our office at 413 732 5580 and one of our office staff will meet you outside the physicians office building 299 Carew Street,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
849,MA,weymouth,ConvenientMD Urgent Care,"987 Main St
Weymouth, MA 02190","Pick up, drop off, or mail in
ATTN:Practice Manager","N95s, Surgical masks, Gloves, Gowns",Unsure
850,MA,winchester,Winchester Hospital,"41 Highland Avenue
Winchester, MA 01890","Email 
smahone4@bidmc.harvard.edu
 with detailed information including the brand and the quantity of the items you wish to donate. Visit 
https://bilh.org/donations
 for more information.","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",No
851,MA,worcester,Ascentria Care Alliance,"14 E Worcester St #300
Worcester, MA 01604","AttN: Neal Wynne , Ascentria Care Alliance ,14 East Worcester St., Suite 300, Worcester MA 01604","N95s, Face shields, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
852,MA,worcester,CareWell Urgent Care,"348 Greenwood St
Worcester, MA 01607",Pick up or drop off. Anyway possible,"N95s, Surgical masks, Face shields, Gowns, Hand sanitizer, Disinfecting wipes, Cleaning wipes hospital grade, Citrace, Lysol, Alcohol",Unsure
853,MA,worcester,Family Health Center,"26 Queen St
Worcester, MA 01610",Best to mail: attention Joann Ford,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
854,MA,worcester,Saint Vincent Hospital,"123 Summer St
Worcester, MA 01608",Any delivery,"N95s, Surgical masks, Gowns",
855,MA,worcester,UMASS Medical Center - Memorial Campus,"119 Belmont St
Worcester, MA 01605","Drop off at front desk at:
UMASS Medical Center - Memorial Campus
119 Belmont St
Worcester, MA 01605

Or mail/ ship to:
COMMAND CENTER
Attention: SUPPLY CHAIN DONATIONS
UMASS Medical Center
55 Lake Avenue North
Worcester, MA 01655","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Phone chargers for patients in isolation",No
856,MA,worcester,UMASS Medical Center - University Campus ,"55 Lake Avenue North
Worcester, MA 01605","Drop off at front desk at:
UMASS Medical Center - University Campus
55 Lake Avenue North
Worcester, MA 01655

Or mail/ ship to:
COMMAND CENTER
Attention: SUPPLY CHAIN DONATIONS
UMASS Medical Center
55 Lake Avenue North
Worcester, MA 01655","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Phone chargers for patients in isolation",No
857,MA,worcester,UMass memorial medical center,"281 Lincoln St
Worcester, MA 01605",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
858,MD,annapolis,Anne Arundel Medical Center,"2000 Medical Parkway
Annapolis, MD 21401.","These items should be delivered curbside to AAMC’s Belcher Pavilion Circle, located at 2000 Medical Parkway, Annapolis, MD, 21401. Hours for donation drop off are Wednesday and Friday from 10 am to noon.  A member of the AAMC team will gratefully accept your donation. 
If you have questions or would like to get a tax receipt, please email 
Foundation@aahs.org","N95s, Surgical masks, Face shields, Safety goggles, Gowns, Hand sanitizer, Disinfecting wipes",Yes
859,MD,baltimore,"Chase Brexton Health Services, Inc.","1111 N Charles St
Baltimore, MD 21201",,,
860,MD,baltimore,MedStar Franklin Square Medical Center,"9000 Franklin Square Dr
Baltimore, MD 21237",Mail or pickup,"N95s, Surgical masks, Face shields, Hand sanitizer",Unsure
861,MD,baltimore,Mercy Medical Center ,"345 St Paul Place
Baltimore, MD 21202","Used masks ok. Mail w/Attn: DR. Robert Alas, Chair of OB/Gyn. Dropoff at Bunting Building security desk.","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gowns, Hand sanitizer, Disinfecting wipes, swabs, respirtaors",Yes
862,MD,baltimore,Sinai Hospital,"2401 W Belvedere Ave
Baltimore, MD 21215",Unused masks only. Mail or drop off.,"N95s, Surgical masks, Face shields, Gowns, PAPRs, coveralls, testing kits",Only if new.
863,MD,baltimore,St. Agnes Hospital,"900 S Caton Ave
Baltimore, MD 21229",Pick up,"N95s, Face shields, Gowns",Unsure
864,MD,baltimore,Total Health Care,"1501 Division St 
Baltimore, MD 21217",Attn Dr Marceé White ,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
865,MD,baltimore,University of Maryland Medical Center (Baltimore Campus),"620 W Lexington St
Baltimore, MD 21201","You can drop off PPE between the hours of 8 AM-12:30 PM, Monday - Friday.  The building door will be locked, but there is a receptionist. You will need to ring the bell to get access. To maximize social distancing, please leave donations in the lobby, on entry.","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gowns, Hand sanitizer, Disinfecting wipes",Yes
866,MD,bethesda,Mobile Medical Care (MobileMed),"9309 Old Georgetown Rd
Bethesda, MD 20814","Please contact 
giving@mobilemedicalcare.org
 regarding your donation being mailed or dropped off.","N95s, Surgical masks, Face shields, Safety goggles, Gowns, Hand sanitizer, Disinfecting wipes",No
867,MD,bethesda,Suburban Hospital,"8600 Old Georgetown Rd
Bethesda, MD 20814",Drop off now at McKinley street entrance (curbside),"N95s, Surgical masks, Face shields, Disposable booties, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
868,MD,bethesda,"Suburban Hospital, Johns Hopkins","8600 Old Georgetown Rd
Bethesda, MD 20814",Drop off in emergency room please or Advise nurse in triage of donation,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
869,MD,bowie,Bowie Health Center,"15001 Health Center Drive
Bowie, MD 20716",In the ER lobby,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Disinfecting wipes, Thermometers",Yes
870,MD,columbia,Grassroots Crisis Intervention Center,"6700 Freetown Rd
Columbia, MD 21044",Donations can be dropped off at the main front entrance of the building.  There is a table set up for donation drop-offs.,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Isopropyl Alcohol, Cleaning supplies, Alcohol Prep Pads",Yes
871,MD,columbia,Howard County General Hospital,"5755 Cedar Ln
Columbia, MD 21044",Postal mail,N95s,Unsure
872,MD,cumberland,UPMC Western Maryland,"12500 Willowbrook Rd
Cumberland, MD 21502",Mailing address,"N95s, Surgical masks, Face shields, Gloves, Gowns",No
873,MD,derwood,"Community Options, Inc.","7615 Standish Place
Derwood, MD 20855",The donations can be dropped at our office. Knock on door and a staff will confirm we are present to receive the donations.,"N95s, Surgical masks, Gloves, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
874,MD,fort washington,Fort Washington Medical Center,"11711 Livingston Rd
Fort Washington, MD 20744",central supply,"Face shields, Gowns",Unsure
875,MD,frederick,Frederick Health,"400 West 7th St
Frederick, MD 21701",New masks only. Drop off or mail. ,"N95s, Surgical masks, Gloves, Gowns, PAPR",Unsure
876,MD,frederick,Frederick Health,"405 W 7th St
Frederick, MD 21701",405 W. 7th St.,"Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
877,MD,glen burnie,Baltimore Washington Medical Center,"301 Hospital Dr
Glen Burnie, MD 21061",To ER front desk ,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
878,MD,hagerstown,Maryland Health and Wellness Center,"1571 Wesel Blvd
Hagerstown, MD 21740","1571 Wesel Blvd, Hagerstown, MD 21740","N95s, Surgical masks, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Rubbing Alcohol",Yes
879,MD,havre de grace,Harford Memorial Hospital ,"501 S. Union Avenue
Havre De Grace, MD 21078",To Emergency Dept. Ask registration to call ED charge nurse.,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns",Yes
880,MD,la plata,Sagepoint Nursing and Rehab,"10990 Smithfield Pl
Waldorf, MD 20602","Drop off on porch, residence. Attn: Donna Dash","N95s, Face shields, Gowns, Hand sanitizer, Disinfecting wipes",Yes
881,MD,lanham,One World Center for Autism and One World Pediatrics,"7401 Forbes Blvd A
Lanham, MD 20706",7401 Forbes Blvd Suite A,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
882,MD,lanham,The One World Center for Autism,"7401 Forbes Blvd Suite A
Lanham, MD 20706",mailing address,"N95s, Face shields, Safety goggles, Gowns, Disinfecting wipes",No
883,MD,rockville,Adventist HealthCare Urgent Care,"750 Rockville Pike
Rockville, MD 20852",Mail/Dropoff open 12-12,"N95s, Face shields, Small N95 Mask",Unsure
884,MD,rockville,PM Pediatrics ,"12254 Rockville Pike
North Bethesda, MD 20852",Attn: office manager ,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",No
885,MD,rockville,Righttime Medical Care,"12220 Rockville Pike
Rockville, MD 20852",Any,"N95s, Surgical masks, Gowns",
886,MD,severna park,GenieHealth LLC,"479 Jumpers Hole Rd #304A
Severna Park, MD 21146","Mail to Attn: Rose, or call office 410-544-0053 to donate/drop off","N95s, Surgical masks, Face shields, Gowns, Hand sanitizer, Disinfecting wipes",Yes
887,MD,silver spring,Holy Cross Health,"1500 Forest Glen Rd
Silver Spring, MD 20910",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",No
888,MD,silver spring,"Medicaid Personal Providers, LLC","8555 16th St #105
Silver Spring, MD 20910",Please call 240-355-3101,"Surgical masks, Gloves, Hand sanitizer, Disinfecting wipes",Yes
889,MD,suitland,"Griswold Home Care, PGC","5211 Auth Rd #200
Camp Springs, MD 20746",5211 Auth Rd Suite 200,"N95s, Gloves, Disinfecting wipes",Yes
890,MD,towson,Greater Baltimore Medical Center,"6701 Charles St
Towson, MD 21204",Donation in front of ED tent at GBMC campus,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
891,MD,towson,Greater Baltimore Medical Center,"6701 N Charles St
Baltimore, MD 21204",Main entrance: call Dr. Stark ,"N95s, Surgical masks, Face shields, Gowns, Hand sanitizer, Disinfecting wipes",No
892,ME,bangor,ConvenientMD Urgent Care,"543 Broadway
Bangor, ME 04401",Flexible,"N95s, Surgical masks, Gloves, Gowns",Unsure
893,ME,bangor,Northern Light Health,"70 Bennett St
Bangor, ME 04401",Contact Tim Plossay AVP Supply Chain 207-620-0364  for drop off at Warehouse  or pick up instructions,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
894,ME,boothbay harbor,Boothbay Region Health Center,"185 Townsend Ave., Suite R
Boothbay Harbor, ME 04538",ATTN: Robyn Ham,"N95s, Safety goggles, Gowns",Yes
895,ME,brunswick,ConvenientMD - Brunswick location ,"193 Bath Rd
Brunswick, ME 04011",193 Bath Rd,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
896,ME,brunswick,Mid Coast Hospital ,"123 Medical Center Drive
Brunswick, ME 04011","Mid Coast Hospital 
PPE Attn: Dr. Brady Colleen Mullin
123 Medical Center Drive
Brunswick, ME 04011 ","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
897,ME,patten,Katahdin Valley Health Center,"529 S Patten Rd
Patten, ME 04765",529 S. Patten Rd,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",
898,ME,portland,ConvenientMD Urgent Care,"191 Marginal Way Suite A
Portland, ME 04101",Mail or drop off,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Unsure
899,ME,saco,ConvenientMD Urgent Care,"506 Main St
Saco, ME 04072",Delivery,"N95s, Surgical masks, Safety goggles, Gloves, Gowns, Hand sanitizer, Eye protection",Unsure
900,ME,westbrook,ConvenientMD Urgent Care,"950 Main St
Westbrook, ME 04092",Delivery or can pick up,"N95s, Surgical masks, Gowns",Unsure
901,ME,york,York Hospital,"15 Hospital Dr
York, ME 03909",Curbside ,N95s,Yes
902,MI,ann arbor,"
Michigan Medicine","2800 Plymouth Road
Ann Arbor, MI 48109",https://www.uofmhealth.org/news/archive/202003/u-m-asks-community-donate-gear-protect-health-care-workers,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Not sure
903,MI,ann arbor,Michigan Medicine,"2800 Plymouth Rd
Ann Arbor, MI 48109",Michigan Medicine,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",No
904,MI,ann arbor,Michigan Medicine -- St. Joseph Mercy,"1500 E Medical Center Dr
Ann Arbor, MI 48109","Dock 5: Attn: UMH Dock receiving team. Please email 
umh-dock-receivingteam@medumich.edu
 that there is inbound product.","N95s, Surgical masks, Face shields, Safety goggles, M4 viral media, PAPRs, hand sanitizer, gowns, testing swabs",Unknown
905,MI,battle creek,Bronson Battle Creek Hospital,"363 Fremont St
Battle Creek, MI 49017",,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",No
906,MI,boyne city,Northern Michigan Surgical Suites,"825 Moll Dr
Boyne City, MI 49712",Mailing address,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
907,MI,brighton,St. Joseph Mercy Brighton Health Center ,"7575 Grand River Ave
Brighton, MI 48114","Please drop off or mail to the following address 7575 Grand River Ave, Brighton, MI 48114","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers, Ventilators",Please keep boxes/bags closed for sanitary purposes. We will accept any donation.
908,MI,dearborn,"Beaumont Hospital, Dearborn ","18101 Oakwood Blvd
Dearborn, MI 48124",Emergency Department ,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Disinfecting wipes",No
909,MI,dearborn,Henry Ford Medical Center - Ford Road,"5500 Auto Club Dr
Dearborn, MI 48126","Eunice Yu, third floor internal medicine","N95s, Surgical masks, Face shields, Safety goggles",No
910,MI,detroit,Detroit Receiving Hospital,"4201 St. Antoine Blvd
Detroit, MI 48201",Curbside procedure- please call/text Dr. Phillip Kucab at 734-678-5733,"N95s, Gowns",Yes
911,MI,detroit,Detroit Recieving Hospital ,"4201 St Antoine
Detroit, MI 48201",Attn:  Emergency Department; you can drop them off at the ambulance bay doors,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
912,MI,detroit,Henry Ford Hospital,"2799 W Grand Blvd
Detroit, MI 48202",Mail or drop off,"N95s, Gowns",Unsure
913,MI,detroit,Henry Ford Hospital,"1 Ford Pl
Detroit, MI 48202",Currently running a community PPE collection drive ,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",As long as they are unused 
914,MI,detroit,Heritage Manor,"9500 Grand River Ave
Detroit, MI 48204",mailing address ATTN:  Valerie Craig,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
915,MI,detroit,Karmanos Cancer Hospital,"4100 John R St
Detroit, MI 48201",Any way you can get it to us ,"N95s, Surgical masks, Face shields",Yes
916,MI,detroit,St John Emergency Department ,"22101 Moross Rd
Detroit, MI 48236",Call 313-995-8886 and drop off to the ED Administration Office. Ask for Patricia.,"N95s, Surgical masks, Face shields, Gowns, Disinfecting wipes, Thermometers",No
917,MI,detroit,Wayne State University,"5285 Anthony Wayne Dr
Detroit, MI 48202","By shipment or pick up (more details needed). Note: Wasn't sure if this referred to the Campus Health Center or not, but that's what this info is for. ","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Especially non-latex gloves. Disposable surgical caps. ",Unsure
918,MI,farmington hills,Consultant Sleep & Pulmonary Medicine,"29275 W 10 Mile Rd
Farmington Hills, MI 48336",Mailing address : P Sinha ,N95s,Yes
919,MI,freeland,"Mobile medical response, Covenant ","7587 Alex Ct
Freeland, MI 48623",Both ,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
920,MI,grand rapids,Spectrum Health,"2925 Walkent Ct NW #B
Grand Rapids, MI 49544",TBD,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Disinfecting wipes",Unknown
921,MI,grosse pointe woods,The Rivers Grosse Point Skilled Nursing,"900 Cook Rd
Grosse Pointe Woods, MI 48236","Rehab entrance, or security desk","N95s, Surgical masks, Hand sanitizer",Yes
922,MI,holland,OB/Gyn Associates of Hollan,"664 Michigan Ave
Holland, MI 49423",Attn: Dawn Dauchy/Sarah Strong DO,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers, Thermometer covers",Yes
923,MI,kalamazoo,MDHHS Kalamazoo County CPS,"22 E Stockbridge Ave
Kalamazoo, MI 49001",Go to back and ring the doorbell,"N95s, Disposable booties, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
924,MI,kalamazoo,WMed Health ,"1000 Oakland Drive
Kalamazoo, MI 49008",Mail to Dr. Patel,"N95s, Surgical masks, Face shields",Yes
925,MI,lansing,Lansing Urgent Care - West Lansing,"4440 W Saginaw Hwy
Lansing, MI 48917",Unknown,N95s,Unsure
926,MI,lansing,McLaren Hospital Foundation,"407 W Greenlawn Ave
Lansing, MI 48910",Please call (517) 975-7100 to notify us of the person/people who is/are going to drop off prior to drop.  We will come out to the vehicle to unload the supplies so the person/people delivering the items does/do not need to come inside the building.,"N95s, Surgical masks, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
927,MI,midland,Great Lakes Physicians,"414 W Wackerly
Midland, MI 48640",ATTN Shay Raleigh,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
928,MI,novi,Healthy Urgent Care,"27204 Beck Rd
Novi, MI 48374",Pick up or drop off (details unknown),"Face shields, Gloves, Gowns, Mask with face shield",Unsure
929,MI,ontonagon,Horizon Home Care,"1001 Giesau Dr.
Ontonagon, MI 49953",,"N95s, Surgical masks, Thermometers",No
930,MI,pleasant lake,Advisacare Home Health rebound therapies,"325 Dolores Dr
Pleasant Lake, MI 49272",Curbside ATTN : Emily Walther,"Surgical masks, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
931,MI,pontiac,Honor Community Health,"1701 Baldwin Ave
Pontiac, MI 48340","Please email 
wstricklin@honorcommunityhealth.org
 when shipments will occur and we will pick up at the curb.","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
932,MI,pontiac,St. Joseph Mercy Oakland ,"44405 Woodward Ave
Pontiac, MI 48341",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
933,MI,royal oak,Faster Care Detroit Urgent Care,"720 E Eleven Mile Rd
Royal Oak, MI 48067","pick up, drop off","N95s, Surgical masks, Gowns",Unsure
934,MI,royal oak,Preferred Choice Home Healthcare,"3526 Elmhurst Ave
Royal Oak, MI 48073","Please leave on front step. I am the owner of a home healthcare company, and welcome any PPE donations that I can disburse to my nurses and therapists as supplies arrive. ","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
935,MI,southfield,Beaumont Hospital,"26901 Beaumont Blvd
Southfield, MI 48033",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
936,MI,southfield,Champion Home HealthCare Inc.,"16250 Northland Drive Suite 368
Southfield, MMI 48075","Drop off at 18083 Wildemere St, Detroit, MI 48221","N95s, Gloves",Yes
937,MI,st joseph,Great Lakes Eye Care,"2848 Niles Rd
St Joseph, MI 49085",Attn: Shelby Weaver ,"N95s, Surgical masks, Face shields, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
938,MI,st joseph,South Shore Women’s Health Care,"2690 S Cleveland Ave
St Joseph, MI 49085","Attn: Carol, right side porch door","N95s, Surgical masks, Face shields",Yes
939,MI,st joseph,Spectrum Health Lakeland ,"1234 Napier Ave.
St Joseph, MI 49085",Central Command station,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer",Yes
940,MN,bertha,Bertha Volunteer Ambulance Service ,"127 2nd Ave NW
Bertha, MN 56437",Atta Chief VanDenheuvel ,"N95s, Surgical masks, Face shields, Gloves, Gowns, Disinfecting wipes",Yes
941,MN,buffalo,Buffalo Hospital-Allina,"303 Catlin St
Buffalo, MN 55313","Manufactured N95s, surgical masks, and hand sewn ear loop masks.  Tent located in main parking lot March 22nd-April 5th 9am-1pm ","N95s, Surgical masks",Yes
942,MN,chaska,St Anthony Health Center,"1107 Hazeltine Blvd #200
Chaska, MN 55318",leave at door of suite #200,"N95s, Surgical masks, Face shields, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
943,MN,coon rapids,Autumn Glen,"3715 Coon Rapids Blvd NW
Minneapolis, MN 55433",Leave at front desk,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Hand sanitizer, Disinfecting wipes",Yes
944,MN,duluth,Chris Jensen Health and Rehab,"2501 Rice Lake Rd
Duluth, MN 55811",Drop on loading dock,"N95s, Surgical masks, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
945,MN,eagan,The Commons on Marice,"1380 Marice Dr
Eagan, MN 55121",Leave at front desk,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
946,MN,minneapolis,Catholic Eldercare,"909 NE Main St
Minneapolis, MN 55413","Main Street Lodge, attn: Stephanie","N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
947,MN,minneapolis,Children's Minnesota,"2525 Chicago Ave
 Minneapolis, MN 55404",Suite 120 - entrance on Chicago Ave,"N95s, Surgical masks, Face shields, Gloves, Hand sanitizer",Yes
